Date,Envelope,Account,Name,Notes,Amount
3/30/2025,Shopping & Fun,My Account,Goshen Tribe,,-7
3/27/2025,Groceries ,My Account,Costco,,-178
3/22/2025,Shopping & Fun,My Account,Fabric Store,,-171
3/22/2025,Shopping & Fun,My Account,Hobby Lobby Stores,,-61
3/19/2025,Groceries ,My Account,Costco,,-257
3/19/2025,Vehicle,My Account,Gas,,-33
3/18/2025,Shopping & Fun,My Account,Trade Steward Monthly,,-80
3/15/2025,Shopping & Fun,My Account,Amazon,,-7
3/12/2025,Shopping & Fun,My Account,Amazon,,-15
3/10/2025,Groceries ,My Account,Costco,,-141
3/9/2025,Groceries ,My Account,Strawberry,,-22
3/8/2025,Shopping & Fun,My Account,Amazon,,-32
3/4/2025,Shopping & Fun,My Account,Amazon,,-20
3/4/2025,Shopping & Fun,My Account,Kohl's,,-40
3/3/2025,Shopping & Fun,My Account,Amazon,,-117
3/2/2025,Groceries ,My Account,Trader Joes,,-30
3/2/2025,Shopping & Fun,My Account,Home Depot,,-14
3/2/2025,"Rent, Mortgage & Utilities ",My Account,Rent,Mortgage ,"-1,202.00"
3/2/2025,"Rent, Mortgage & Utilities ",My Account,Utilities,,-80
3/1/2025,"Rent, Mortgage & Utilities ",My Account,Rent insurance,,-24
3/1/2025,"Rent, Mortgage & Utilities ",My Account,Starlink Internet,,-120
2/28/2025,Groceries ,My Account,Costco,,-212
2/28/2025,Vehicle,My Account,Gas,,-32
2/26/2025,Groceries ,My Account,Lion Food,,-7
2/26/2025,Vehicle,My Account,Gas,,-20
2/26/2025,Groceries ,My Account,Costco,,-17
2/26/2025,Vehicle,My Account,Gas,,-21
2/24/2025,Work related travel,My Account,Quality Inn,,-94
2/24/2025,Shopping & Fun,My Account,Amazon,,-18
2/23/2025,Shopping & Fun,My Account,Amazon Option Book,,-54
2/23/2025,Shopping & Fun,My Account,Hobby Lobby Stores,,-80
2/19/2025,Vehicle,My Account,Gas,,-24
2/19/2025,Groceries ,My Account,Costco,,-163
2/10/2025,Groceries ,My Account,Food Maxx,,-13
2/10/2025,Groceries ,My Account,Costco,,-184
2/10/2025,Vehicle,My Account,Gas,,-29
2/8/2025,Shopping & Fun,My Account,Trader Joes,,-4
2/8/2025,Vehicle,My Account,Gas,,-21
2/6/2025,Shopping & Fun,My Account,Home Depot,,-9
2/6/2025,Groceries ,My Account,Trader Joes,,-25
2/5/2025,Shopping & Fun,My Account,Amazon,,-7
2/4/2025,Groceries ,My Account,Food Maxx,,-57
2/4/2025,Groceries ,My Account,Amazon,,-105
2/4/2025,Shopping & Fun,My Account,Option Omega,,-300
2/4/2025,Shopping & Fun,My Account,Amazon,,-116
2/2/2025,Groceries ,My Account,Trader Joes,,-18
2/2/2025,"Rent, Mortgage & Utilities ",My Account,Rent,Mortgage ,"-1,202.00"
2/2/2025,"Rent, Mortgage & Utilities ",My Account,Utilities,,-80
2/1/2025,"Rent, Mortgage & Utilities ",My Account,Rent insurance,,-24
2/1/2025,"Rent, Mortgage & Utilities ",My Account,Starlink Internet,,-120
1/31/2025,Shopping & Fun,My Account,The Adventure Challenge,,-63
1/30/2025,Trips and Eating out,My Account,Costco Food,,-3
1/30/2025,Vehicle,My Account,Gas,,-18
1/30/2025,Groceries ,My Account,Lion,,-65
1/29/2025,Trips and Eating out,My Account,Costco Food,,-3
1/29/2025,Vehicle,My Account,Gas,,-21
1/26/2025,Vehicle,My Account,Gas,,-21
1/26/2025,Groceries ,My Account,Costco,,-109
1/26/2025,Work related travel,My Account,Quality Inn,,-94
1/22/2025,Vehicle,My Account,Registration Renewal,,-149
1/16/2025,Vehicle,My Account,Gas,,-29
1/16/2025,Shopping & Fun,My Account,Hobby Lobby Stores,,-22
1/16/2025,Groceries ,My Account,Costco,,-318
1/13/2025,Shopping & Fun,My Account,Birthday Surprise,,-255
1/13/2025,Vehicle,My Account,Gas,,-9
1/13/2025,Groceries ,My Account,Trader Joe’s,,-53
1/13/2025,Shopping & Fun,My Account,Hobby Lobby Stores,,-19
1/13/2025,Shopping & Fun,My Account,Hobby Lobby Stores,,-37
1/12/2025,Shopping & Fun,My Account,Self Authoring,,-18
1/9/2025,Shopping & Fun,My Account,Emerald 118,,-30
1/8/2025,Groceries ,My Account,Costco,,-205
1/7/2025,Shopping & Fun,My Account,Amazon,,-13
1/6/2025,Shopping & Fun,My Account,Amazon,,-33
1/6/2025,Vehicle,My Account,Amazon,,-17
1/6/2025,Groceries ,My Account,Amazon,,-150
1/4/2025,"Rent, Mortgage & Utilities ",My Account,USPS PO Box 6 Month,,-85
1/2/2025,Shopping & Fun,My Account,Amazon,,-9
1/2/2025,"Rent, Mortgage & Utilities ",My Account,Utilities,,-80
1/2/2025,"Rent, Mortgage & Utilities ",My Account,Rent,Mortgage ,"-1,202.00"
1/1/2025,"Rent, Mortgage & Utilities ",My Account,Rent insurance,,-24
1/1/2025,"Rent, Mortgage & Utilities ",My Account,Starlink Internet,,-120
12/30/2024,Groceries ,My Account,Holiday Market,,-24
12/30/2024,Groceries ,My Account,Costco,,-136
12/30/2024,Trips and Eating out,My Account,Costco Food,,-5
12/30/2024,Vehicle,My Account,Gas,,-21
12/29/2024,Shopping & Fun,My Account,Haven,,-7
12/28/2024,Shopping & Fun,My Account,YouTube Movie,,-4
12/27/2024,Groceries ,My Account,Costco,,-71
12/25/2024,Shopping & Fun,My Account,Amazon,,-65
12/25/2024,Shopping & Fun,My Account,Costco,,-98
12/19/2024,Groceries ,My Account,Costco,,-48
12/17/2024,Shopping & Fun,My Account,White Flower Farm,,-124
12/16/2024,Vehicle,My Account,Gas,,-19
12/16/2024,Groceries ,My Account,Costco,,-230
12/10/2024,Groceries ,My Account,Amazon,,-31
12/10/2024,Shopping & Fun,My Account,Amazon,,-95
12/10/2024,Shopping & Fun,My Account,Amazon,,-85
12/10/2024,Shopping & Fun,My Account,Mood,,-117
12/9/2024,Groceries ,My Account,Costco,,-171
12/8/2024,Shopping & Fun,My Account,Amazon,,-12
12/8/2024,Groceries ,My Account,Trader Joe’s,,-60
12/8/2024,Shopping & Fun,My Account,Trader Joe’s,,-8
12/7/2024,Shopping & Fun,My Account,Amazon,,-30
12/4/2024,Vehicle,My Account,Gas,,-32
12/3/2024,Groceries ,My Account,Costco ,,-66
12/3/2024,Vehicle,My Account,Gas,,-16
12/2/2024,Groceries ,My Account,Costco,,-64
12/2/2024,Vehicle,My Account,Gas,,-20
12/2/2024,"Rent, Mortgage & Utilities ",My Account,Rent,Mortgage ,"-1,202.00"
12/2/2024,"Rent, Mortgage & Utilities ",My Account,Utilities,,-80
12/1/2024,Shopping & Fun,My Account,Bethel Store,,-32
12/1/2024,"Rent, Mortgage & Utilities ",My Account,Rent insurance,,-24
12/1/2024,"Rent, Mortgage & Utilities ",My Account,Starlink Internet,,-120
11/30/2024,Shopping & Fun,My Account,Amazon,,-384
11/27/2024,Groceries ,My Account,Costco,,-210
11/26/2024,Work related travel,My Account,Signature Inn Santa Clara,,-87
11/21/2024,Groceries ,My Account,Costco,,-199
11/21/2024,Vehicle,My Account,Gas,,-24
11/19/2024,Shopping & Fun,My Account,Home Depot,,-12
11/11/2024,Groceries ,My Account,Costco,,-234
11/11/2024,Vehicle,My Account,Gas,,-18
11/4/2024,Groceries ,My Account,Costco,,-149
11/4/2024,Vehicle,My Account,Gas,,-26
11/3/2024,Shopping & Fun,My Account,Amazon,,-152
11/2/2024,Groceries ,My Account,Pie Meets Bread,,-23
11/2/2024,"Rent, Mortgage & Utilities ",My Account,Rent,Mortgage ,"-1,202.00"
11/2/2024,"Rent, Mortgage & Utilities ",My Account,Utilities,,-80
11/1/2024,"Rent, Mortgage & Utilities ",My Account,Rent insurance,,-24
11/1/2024,"Rent, Mortgage & Utilities ",My Account,Starlink Internet,,-120
10/31/2024,Vehicle,My Account,Gas,,-30
10/30/2024,Groceries ,My Account,Costco,,-53
10/30/2024,Trips and Eating out,My Account,Hotel,,-74
10/30/2024,Shopping & Fun,My Account,Wiring Fee For Selling Home,,-20
10/29/2024,Trips and Eating out,My Account,Costco Food,,-3
10/29/2024,Vehicle,My Account,Gas,,-31
10/28/2024,Shopping & Fun,My Account,Anki For Iphone,,-25
10/28/2024,Groceries ,My Account,Costco,,-78
10/22/2024,Groceries ,My Account,Amazon,,-66
10/21/2024,Groceries ,My Account,Costco,,-303
10/21/2024,Trips and Eating out,My Account,Costco ,,-10
10/21/2024,Vehicle,My Account,Gas,,-17
10/18/2024,Vehicle,My Account,Gas,,-32
10/18/2024,Shopping & Fun,My Account,Bathtub Spout Replacement,,-375
10/17/2024,Groceries ,My Account,Lion Food,,-10
10/17/2024,Shopping & Fun,My Account,Home Depot,,-17
10/17/2024,Groceries ,My Account,Costco,,-13
10/16/2024,Vehicle,My Account,Gas,,-20
10/16/2024,Trips and Eating out,My Account,Food,,-3
10/16/2024,Vehicle,My Account,Gas,,-20
10/14/2024,Vehicle,My Account,Geico,,-148
10/13/2024,Shopping & Fun,My Account,Home Goods,,-46
10/12/2024,Trips and Eating out,My Account,Bubble Tea,,-8
10/12/2024,Trips and Eating out,My Account,Five Guys,,-22
10/11/2024,Vehicle,My Account,Gas,,-24
10/11/2024,Trips and Eating out,My Account,Breakfast,,-3
10/10/2024,Vehicle,My Account,Gas,,-39
10/9/2024,Shopping & Fun,My Account,Home Depot,,-25
10/9/2024,Groceries ,My Account,Costco,,-17
10/9/2024,Shopping & Fun,My Account,Amazon,,-10
10/8/2024,Trips and Eating out,My Account,Lunch,,-3
10/8/2024,Groceries ,My Account,Costco,,-217
10/8/2024,Vehicle,My Account,Gas,,-24
10/3/2024,Vehicle,My Account,Gas,,-20
10/3/2024,Trips and Eating out,My Account,Taco Bell,,-5
10/3/2024,Groceries ,My Account,Lion Food,,-26
10/2/2024,Trips and Eating out,My Account,Uber Eats Remaining,,-8
10/2/2024,Shopping & Fun,My Account,Word Of Promise,,-50
10/2/2024,"Rent, Mortgage & Utilities ",My Account,Mortgage ,Mortgage ,"-1,418.00"
10/2/2024,"Rent, Mortgage & Utilities ",My Account,HOA,,-633
